rank,symbol,timeframe,macd_params,long_hold_bars,short_hold_bars,long_total_events,long_rise_n,long_fall_n,long_win_rate,long_post_mean_rise,long_post_mean_fall,long_post_mean_total,long_plus1sd,long_minus1sd,long_post_max,long_post_min,long_pre_mean,long_pre_plus1sd,long_pre_minus1sd,short_total_events,short_rise_n,short_fall_n,short_win_rate,short_post_mean_rise,short_post_mean_fall,short_post_mean_total,short_plus1sd,short_minus1sd,short_post_max,short_post_min,short_pre_mean,short_pre_plus1sd,short_pre_minus1sd,base_long_rise_rate,base_short_fall_rate,base_long_mean,base_short_mean,long_edge,short_edge,long_mag_edge,short_mag_edge,active_signal,current_macd,current_signal,current_diff,long_expectancy,short_expectancy,combined_expectancy
1,NVDA,1W,12/26/9,12,3,314,246,68,0.7834394904458599,0.2659852645713841,-0.13072900411774202,0.18007262039666888,0.41520548723615336,-0.055060246442815625,0.8694481830417229,-0.5391180654338549,0.13598064267176727,0.26670898660786757,0.005252298735666933,221,136,85,0.38461538461538464,0.11105456105804883,-0.08037743295641354,0.03742687105248638,0.16114277812324967,-0.08628903601827694,0.39053254437869833,-0.32402234636871513,-0.039089533854825345,0.07848877328204498,-0.15666784099169567,0.7429111531190926,0.3587360594795539,0.1619552641706246,0.03856406564314852,0.040528337326767305,0.025879325135830744,0.018117356226044268,-0.0011371945906621453,LONG,8.8609,5.1102,3.7507,0.180073,0.037427,0.10875
2,AMD,1W,12/26/9,12,3,281,184,97,0.6548042704626335,0.31829070843831364,-0.1498272611756705,0.15669838440786366,0.4535301518709021,-0.1401333830551748,1.070886075949367,-0.4519261897054063,0.15466104471423237,0.32706251181775275,-0.017740422389288024,254,143,111,0.43700787401574803,0.12420975627961651,-0.08011542280506964,0.034918044159930814,0.17078697861638142,-0.10095089029651978,0.5991264367816092,-0.27041462474533345,-0.04710400383496101,0.0776394069670965,-0.17184741463701853,0.6427221172022685,0.4368029739776952,0.15116822122037107,0.03925111388573369,0.012082153260364992,0.0002049000380528465,0.005530163187492582,-0.004333069725802878,LONG,49.167,25.5841,23.5829,0.156698,0.034918,0.095808
3,TSLA,1W,12/26/9,12,3,282,165,117,0.5851063829787234,0.39543868606311217,-0.1682779302854468,0.16155626013126329,0.5468045060828488,-0.22369198582032224,1.7304545454545455,-0.5357210179076343,0.15137773937335894,0.35086450223615706,-0.048109023489439184,255,137,118,0.4627450980392157,0.12169846060544931,-0.0895106566238753,0.023962476946389304,0.17052947743795047,-0.12260452354517185,0.5735007960375023,-0.36800780047213383,-0.06187249858891784,0.08431138095854505,-0.20805637813638073,0.5803402646502835,0.45353159851301117,0.12598811737515775,0.029928774989588784,0.004766118328439872,0.009213499526204538,0.035568142756105536,-0.0059662980431994805,LONG,-1.4042,-2.5935,1.1894,0.161556,0.023962,0.092759
4,SMH,1W,12/26/9,12,3,292,229,63,0.7842465753424658,0.13027680035280176,-0.08635875859203702,0.08353693660785366,0.20409418402066698,-0.03702031080495964,0.38953203178651996,-0.2896105721917615,0.07313102436253556,0.13893770720940635,0.007324341515664759,242,155,87,0.359504132231405,0.0688011325464448,-0.053110737501049755,0.024973311496312472,0.10323668518693899,-0.053290062194314036,0.29088499184339317,-0.23427792089710556,-0.02174226352418917,0.05727393756088799,-0.10075846460926632,0.7561436672967864,0.36988847583643125,0.0749722097161719,0.0199588108750628,0.028102908045679387,-0.01038434360502627,0.008564726891681765,0.005014500621249671,LONG,48.2576,33.5526,14.7051,0.083537,0.024973,0.054255
5,AVGO,1W,12/26/9,12,3,276,195,81,0.7065217391304348,0.1441911763142729,-0.09441426484091481,0.07416566641003301,0.2202981552609229,-0.07196682244085685,0.4817325002647461,-0.39273301737756716,0.08755891969475281,0.17527508862515936,-0.0001572492356537447,255,163,92,0.3607843137254902,0.08165971979700626,-0.054499997137588,0.03253542976570167,0.13060632230286454,-0.06553546277146119,0.36881203190647277,-0.2949376375641967,-0.019739664009172063,0.070511830758831,-0.10999115877717514,0.72,0.37453183520599254,0.0873045410073676,0.023486818653069008,-0.013478260869565162,-0.013747521480502345,-0.013138874597334593,0.009048611112632665,LONG,24.3563,14.1655,10.1908,0.074166,0.032535,0.053351
6,NFLX,1W,12/26/9,12,3,293,218,75,0.7440273037542662,0.1541047322093364,-0.09779859989691295,0.08962435709681525,0.24143973209302927,-0.06219101789939875,0.4136054421768708,-0.42416340721425466,0.08930214980206148,0.1899075989098215,-0.011303299305698539,236,127,109,0.461864406779661,0.08815924337954414,-0.07656519995654915,0.012078886076009552,0.12567271648179565,-0.10151494432977654,0.37012987012987003,-0.4693638229258282,-0.047377926904472276,0.06588264673040178,-0.16063850053934633,0.7069943289224953,0.41263940520446096,0.07336289267448064,0.016953425640606687,0.037032974831770926,0.049225001575200045,0.016261464422334615,-0.004874539564597135,LONG,-2.9618,-3.333,0.3712,0.089624,0.012079,0.050852
7,SOXX,1W,12/26/9,12,3,305,226,79,0.740983606557377,0.12852724856317305,-0.0809683009549253,0.07426446688471479,0.19345873445459266,-0.04492980068516307,0.4670388541137989,-0.2998454404945904,0.06780370313778146,0.1313665124913625,0.004240893784200422,229,147,82,0.35807860262008734,0.07087869712308237,-0.0508096638004499,0.027304698888455107,0.10744001674555866,-0.05283061896864845,0.3592061482288508,-0.23776857364742432,-0.025686595590254418,0.05698305190391641,-0.10835624308442525,0.725897920604915,0.3754646840148699,0.06934961924099181,0.01896272312184534,0.015085685952462069,-0.017386081394782538,0.004914847643722978,0.008341975766609767,LONG,49.6397,33.6195,16.0202,0.074264,0.027305,0.050785
8,MELI,1W,12/26/9,12,3,286,160,126,0.5594405594405595,0.213355076025127,-0.13393313103776766,0.06035397780860696,0.27418922082026065,-0.15348126520304675,0.6644816284284977,-0.4553685492099148,0.11208108724247504,0.2410680688031405,-0.016905894318190423,250,141,109,0.436,0.10613434299565636,-0.07292726515313543,0.02806348184278313,0.14480541405445904,-0.0886784503688928,0.48525340946970236,-0.34073192874808256,-0.04959208085671286,0.060424038186767885,-0.1596081999001936,0.6257088846880907,0.43308550185873607,0.08969260918451881,0.021918390887104153,-0.06626832524753123,0.0029144981412639326,-0.029338631375911847,0.006145090955678976,SHORT,-118.0303,-109.4752,-8.5551,0.060354,0.028063,0.044209
9,CAT,1W,12/26/9,12,3,300,195,105,0.65,0.1553313186964049,-0.09753700397544096,0.06682740576125884,0.2118480573323876,-0.07819324580986992,0.40653670766491673,-0.35594820609657407,0.07557302652661808,0.14589910173461987,0.0052469513186163,232,136,96,0.41379310344827586,0.07042334515402217,-0.058072327117660284,0.017252722145050112,0.10082589443139131,-0.06632045014129109,0.30921465968586387,-0.2738138619634138,-0.03561197731108975,0.04624289912495056,-0.11746685374713006,0.6351606805293005,0.3903345724907063,0.06684172416109034,0.017860534939658855,0.014839319470699497,0.023458530957569557,-1.4318399831500517e-05,-0.0006078127946087426,LONG,83.6117,71.5798,12.0319,0.066827,0.017253,0.04204
10,GOOGL,1W,12/26/9,12,3,313,205,108,0.6549520766773163,0.1310729851099563,-0.08221634831557567,0.05747794354459702,0.19155277961148656,-0.07659689252229254,0.445031204992799,-0.2884615384615385,0.060264514397662394,0.12028919156523375,0.0002398372300910362,224,133,91,0.40625,0.06180253976315597,-0.045402047672616005,0.018250676117373608,0.08755439439629346,-0.051053042161546255,0.24546183567835547,-0.20235961768219832,-0.028110197716803915,0.04460279929137548,-0.1008231947249833,0.6843100189035917,0.3940520446096654,0.05847939695142592,0.01537707755268298,-0.029357942226275413,0.01219795539033458,-0.0010014534068289033,0.0028735985646906274,LONG,27.212,20.2659,6.9461,0.057478,0.018251,0.037864
